id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
13734517,10168634,Apartment,75,,,127,20,10,1,1125,0,0,0,0,60
13735323,78025314,Apartment,40,,,,,0,30,35,15,45,75,350,
13735598,24023612,Apartment,30,,,150,25,0,1,30,0,0,0,0,89
13736504,80395972,Townhouse,30,,,300,,0,20,35,0,0,0,0,100
13737305,48647883,House,30,,,,,10,1,1125,0,0,0,0,
13738449,364347,House,60,,,,,0,1,1125,14,16,16,16,98
13739543,8287139,Apartment,75,,,150,15,0,2,7,0,0,0,0,97
13741449,35789055,Apartment,169,,,250,65,15,1,1125,8,23,45,132,91
13750531,80556568,Apartment,180,,,,,50,3,14,23,53,83,173,90
13751579,62442067,Apartment,100,,,2000,60,0,4,1125,0,0,0,0,
13752471,31549796,Townhouse,96,,,400,45,10,2,1125,0,0,0,0,92
13752812,79593026,Apartment,119,,,200,50,15,2,365,11,23,41,46,97
13752864,65023971,Apartment,100,,,,,0,1,1125,29,59,89,364,
13754230,50626167,Apartment,399,,,1500,295,35,2,59,12,31,50,50,97
13754476,56774195,Apartment,84,,,,,0,1,1125,0,0,0,0,83
13754561,21631686,Apartment,395,,,500,50,15,2,30,0,0,0,0,100
13754996,7253592,Apartment,96,,,500,95,0,2,1125,1,2,2,2,95
13755287,19533132,House,60,,,,20,20,7,1125,0,0,0,0,
13755843,14904838,House,40,,,,20,0,2,7,0,0,0,0,96
13756689,19533132,House,47,,,,,20,5,1125,0,0,0,0,98
13756778,21548105,House,651,,,600,180,0,5,1125,8,34,34,89,95
13756814,80640249,Apartment,220,,,250,80,0,7,9,0,0,0,0,
13757390,47936742,Apartment,220,,,400,65,16,2,1125,3,15,38,125,97
13757439,4310078,Apartment,145,,,200,35,30,1,1125,0,15,32,244,100
13760009,80651381,House,46,,,300,,30,20,75,0,0,0,0,100
13765466,35789055,Apartment,105,,,200,39,15,1,1125,15,36,66,156,92
13768776,36245430,Apartment,109,,,,20,20,2,20,0,0,0,0,100
13771503,80816333,House,44,,,415,21,42,1,1125,30,60,90,365,
13772129,80825458,Townhouse,109,,,200,20,0,1,1125,0,0,0,0,
13772466,22963295,House,100,,,,10,15,1,1125,5,11,34,309,100
13774733,1868342,Apartment,109,,,200,50,20,1,183,11,14,32,299,95
13775531,80861502,Apartment,208,,,138,28,0,1,1125,28,58,88,88,
13775547,49572427,Guesthouse,65,,,,20,0,1,1125,4,31,57,332,99
13776993,76731107,Apartment,60,,,150,10,0,1,22,0,0,0,0,
13777196,51548795,House,53,,,,15,7,4,9,10,13,13,13,93
13777679,9510598,Apartment,150,,,300,60,25,1,365,19,40,70,345,96
13779109,80896463,House,40,,,150,10,0,1,2,0,0,0,0,
13779229,80892771,Apartment,84,,,500,30,0,5,1125,0,0,0,0,98
13788961,7624407,Apartment,150,,,200,50,0,1,200,14,16,16,239,100
13789179,25512499,Apartment,105,,,350,150,0,7,180,22,47,77,159,98
13789385,65149000,Serviced apartment,168,,,300,70,35,1,1125,12,34,48,53,98
13789404,13293230,House,60,,,95,50,10,1,14,0,0,0,0,93
13789937,48656487,Apartment,150,,,0,60,0,3,1125,0,0,0,0,98
13789972,81031174,Apartment,145,,,300,50,50,3,12,12,37,67,317,89
13791132,6815177,Apartment,190,,,400,90,25,1,1125,16,39,68,343,97
13793064,19639879,Apartment,55,,,300,15,0,1,1125,29,59,89,89,82
13793125,71234358,Guesthouse,320,,,500,7,120,1,1125,21,51,81,356,87
13793281,45661635,Apartment,53,,,0,12,50,1,80,0,0,0,0,88
13795038,52750902,Apartment,60,,,300,30,15,14,1125,0,0,0,0,
13801252,7692628,Townhouse,53,,,,10,0,1,3,0,0,0,0,
13801818,55754741,House,120,,,1000,75,0,5,24,0,0,0,0,
13803290,79786342,Apartment,91,,,,59,0,1,1125,0,0,0,0,90
13804661,7509953,Apartment,105,,,250,65,0,1,1125,28,58,88,363,83
13804870,7509953,Apartment,130,,,500,150,0,1,1125,20,50,63,223,92
13808507,81256811,Apartment,120,,,200,60,20,4,1124,16,16,16,16,95
13812571,37977981,Apartment,118,,,300,25,0,1,1125,0,0,0,0,87
13815921,81362600,Apartment,109,,,250,20,0,30,31,23,53,83,83,
13816037,81364059,House,199,,,,,0,28,1125,30,60,90,90,
13817665,51784844,Apartment,114,,,0,80,10,1,1125,13,32,62,337,96
13819262,2130669,House,140,,,500,95,10,3,240,8,20,50,209,98
13820441,20339087,Apartment,228,,,250,130,28,3,90,12,27,54,325,97
13821666,67262737,Apartment,109,,,,40,0,1,1125,0,0,0,0,
13823681,6849229,House,150,,,127,40,0,2,150,1,1,1,1,90
13830178,15298690,House,100,,,0,75,35,2,1125,0,0,0,0,95
13830392,43050141,Apartment,91,,,0,0,0,2,1125,26,56,81,228,87
13831285,5378892,Apartment,450,,,500,90,0,6,1125,29,59,89,364,
13831387,33771646,Guest suite,205,,,0,0,40,1,14,13,43,68,143,
13831644,81572188,House,170,,,,60,0,1,1125,9,13,13,89,89
13831745,33813294,Apartment,84,,,200,60,25,1,1125,0,0,0,0,90
13834495,81598239,House,22,,,,20,7,1,7,0,0,0,0,97
13836182,74216331,Townhouse,30,,,,,0,15,30,0,0,0,0,
13836633,65302869,Apartment,100,,,300,100,50,12,17,0,0,0,0,100
13842234,81688271,Apartment,33,,,0,15,0,2,1125,5,14,22,22,92
13842367,35789055,Apartment,155,,,250,65,15,1,1125,6,34,62,152,87
13847237,81752162,Apartment,100,,,500,100,0,14,34,0,0,0,0,
13847287,4412715,Apartment,125,,,250,85,0,4,21,0,0,6,6,93
13847301,18106123,House,42,,,,,0,1,1125,0,0,0,0,100
13848258,81767035,House,55,,,0,6,15,2,35,7,21,42,126,90
13849485,22860147,Apartment,100,,,200,80,10,5,1125,4,6,18,97,96
13851077,70325661,House,50,,,,15,15,1,1125,0,0,28,28,96
13852005,81809586,House,37,,,261,13,9,2,7,14,44,74,74,94
13852891,67551355,Apartment,111,,,150,25,0,2,37,8,8,8,8,97
13853464,59231056,Apartment,42,,,130,10,0,1,2,0,0,0,0,
13853669,81824533,Bungalow,120,,,,30,0,2,130,12,35,65,245,89
13865317,81961829,Townhouse,100,,,150,30,0,1,1125,0,0,0,0,
13867499,81965438,Apartment,71,,,,50,0,14,1125,2,10,34,214,92
13867766,74750665,Apartment,60,,,1000,20,0,7,19,0,0,0,0,
13867786,43002649,Apartment,150,,,,40,50,1,1125,4,30,57,332,95
13868032,4227449,House,415,,,1000,95,0,10,1125,4,15,15,265,100
13870224,31785853,Apartment,108,,,250,80,0,3,1125,4,11,11,160,97
13871376,82037809,Apartment,71,,,400,50,0,7,12,0,0,0,0,
13871632,1410571,Townhouse,350,,,400,120,20,2,1125,4,21,39,125,95
13873970,48123266,House,25,,,250,9,0,1,1125,29,59,89,89,80
13884691,82199994,Apartment,40,,,150,10,0,1,4,0,0,0,0,
13884891,669279,Apartment,130,,,300,55,30,2,30,8,22,46,46,95
13885007,28377544,Townhouse,190,,,500,105,0,4,21,0,0,0,0,
13885125,1583540,Apartment,96,,,150,20,0,2,1125,0,0,0,0,95
13885408,4193994,Apartment,46,,,,25,0,5,1125,0,0,0,0,90
13885881,82217266,House,295,,,200,,35,2,1125,18,48,78,168,100
13886131,51607871,House,75,,,128,20,0,1,4,0,0,0,0,60
